key,en,zh
BONUSES!,BONUSES!,奖励！
DRAGON HELMET,DRAGON HELMET,龙头盔
GAME PROGRESS WILL BE SAVED ON YOUR COMPUTER,GAME PROGRESS WILL BE SAVED ON YOUR COMPUTER,游戏进度将保存在你的计算机上
HOME ANIMAL,HOME ANIMAL,宠物
LOCAL SAVE,LOCAL SAVE,本地保存
LOGIN,LOGIN,登录
ONLINE SAVE,ONLINE SAVE,在线保存
ORION GAME DESCRIPTION,"The enhanced version of the great game Orion Sandbox has arrived! You always need to survive on a virgin world by collecting materials, crafting tools and armor, making improvised shelters, successfully completing missions, finding treasures, and so on. The planet looks like a paradise by day, but when night comes, darkness can hide ferocious creatures and terrible secrets ... Shape the world like you want it! Will you be able to survive on this strange planet?",游戏佳作Orion Sandbox的加强版现已上市！在一个原始世界你要生存下来，收集材料、制作工具和盔甲，建造临时房屋，成功完成任务，寻找宝藏等。白天，星球犹如天堂一般，但一到晚上，在黑暗之中可能有恶魔和可怕秘密隐藏……任由你改造世界！你能在这个陌生的星球生存下来吗？
PIRATE CLOTHES SET,PIRATE CLOTHES SET,海盗套装
SELECT,SELECT,选择
START,START,开始
__comment,tutorial,教程
abil_can_breath_underwater,Allows breathing under water,可水下呼吸
abil_crit,critical hit chance,暴击机率
abil_damage,damage,攻击伤害
abil_defense,defense,防御
abil_flamy,chance to set on fire,火攻机率
abil_friendly_for_gnomes,King of Universe,宇宙之王
abil_friendly_light,Radius Light,光环
abil_health,health,生命
abil_holy_explosion,Holy Blast,神圣之暴击
abil_luminary,Magic Radiance,魔法环
abil_protection_from_explosion,Explosion protection,防爆
abil_protection_from_fall,Falling protection,防坠
abil_protection_from_magma,Fire protection,防火
achiev_alchemist,Alchemist,医疗师
achiev_alchemist_desc,Make {0} potions,制出{0}支药剂
achiev_auror,Beast Slayer,屠兽圣手
achiev_auror_desc,Kill {0} bosses,杀死{0}个首领级怪物（boss）
achiev_book_traveler,Master of Orion,Orion游戏之王
achiev_book_traveler_desc,Complete all tasks in The Book of Travels,完成旅行之书中所有任务
achiev_digger,Digger,挖掘王
achiev_digger_desc,Mine {0} blocks,开采{0}个砖块
achiev_doer,Bonfires,寻篝火妙手
achiev_doer_desc,Find all Bonfires,找到所有篝火
achiev_dwarf_soul,Moneybags,寻宝妙手
achiev_dwarf_soul_desc,Find and open all treasures,找到和打开所有宝藏
achiev_gardener,Gardener,园林师
achiev_gardener_desc,Grow {0} flower,种植{0}朵花
achiev_hero,Hero,英雄
